iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,42.544312493982716,1022.401814139023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.387608821516785,0.0,0.0,0.0,34.47426765642667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.0,0.0,0.0,23.689857490644457,569.289406053524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.272719558014916,0.0,0.0,0.0,19.196197637925994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2012-01-04 12:00:00,0.012807052419889211,0.05070143637534186,0.01858625698888702,38.16392213599424,670.4805337316694,0.10506674582938365,0.025823960297916008,0.02156585664353432,0.004747888987349132,0.30483448796533763,0.16392653240843014,0.04748341499536885,0.027365760928925485,0.863622188999439,0.1925999942314352,0.048430333709161145,0.01565035920688069,0.02342060062310976,0.0332592859523474,0.0651432193462888,0.04922790067787306,0.006010944626650369,0.0861104650261993,0.06727586518179897,0.0597619039974577,0.010155113411481781,0.006445297834701099,0.09132998458349761,0.0065885018865621285,0.0129119410645931,0.01042074066774295,0.08474743319575342,0.45908196226365755,33.21768565114635,0.1904394318194912,0.08574857477175131,0.03245446453566775,29.42761490873396,0.11045766606318522,0.01102222284876891,0.04138430450915742,0.0066477396007651015,0.05652415659022357,0.2683367769358174,1.6078431292341668,0.07334047642938711,0.005554823084607675,1.1997428752399084,0.0498241272004488,0.01237805525685744,0.00622625828391508
4,2012-01-05 12:00:00,0.008594032897858279,0.03404809433035624,0.012530325836760245,47.40396673025395,745.3186953707785,0.07032431878353564,0.017415107673683212,0.014192758499140956,0.00320148172943256,0.20461097302731926,0.10990095940960373,0.03161054145801045,0.018410190909065476,1.3736060288764855,0.1294105274219683,0.032616842982749465,0.010534482508655086,0.01579105431038625,0.02241764646327503,0.04389760563377838,0.03313210120690607,0.004060052650669943,0.05806377103028463,0.045229582337140285,0.04023334178220509,0.006858094345327773,0.004349169302978239,0.061494117460321865,0.004433655112758649,0.008686244391353293,0.007027003263001383,0.057115963534027245,0.7133749551630462,38.534452903306594,0.1283477257819245,0.05784655311553528,0.02185711169360483,36.08519640084957,0.07447342615694538,0.007425816951337631,0.027820588660287988,0.004474837007390827,0.03805570734127308,0.1806086155794659,2.513342596415977,0.049402652951270144,0.0037445056663666806,1.8615662394941948,0.03354101425608898,0.00834643469847324,0.0041788983113790115
5,2012-01-06 12:00:00,0.03920518948453945,0.15988806682629186,0.05881147813779311,58.33878013520395,832.7608088120713,0.3598418101135524,0.08058995606604352,0.06242738397271451,0.015128373115271484,0.9319703569594848,0.49633966225288484,0.14504884261643716,0.08599071037649396,2.1393032265276553,0.583840877489899,0.15155320857053184,0.05055698523341667,0.07435704532684435,0.104310033263458,0.19916445625538604,0.1509264133755041,0.01857996496690434,0.2636506202912782,0.20414296281822752,0.18347944458306267,0.03378365562381956,0.04351643818148547,0.2796074018077015,0.020474380793664215,0.04071103158704171,0.03213414888952097,0.25910634885353134,1.113160061063075,44.2537977638807,0.5823242357979767,0.2636878733517473,0.10195781177251209,43.59724637826099,0.33963930516944896,0.033598650741073766,0.1297028717013759,0.0208403751960017,0.17415121018190927,0.850664100637922,3.9776235931344353,0.22453814921976908,0.017155119741673497,3.1729328300154225,0.15566837258544552,0.038954081293205566,0.04212470877104566
6,2012-01-07 12:00:00,0.03816526484751902,0.15927702426487497,0.05888206505910111,70.33578794735205,929.3268237200815,0.4163538047783064,0.07988556593991858,0.05737722757223341,0.015225908674727109,0.906548720086115,0.4788428136309579,0.14017752736429956,0.0855427119183242,3.0376751439965544,0.5646181849377233,0.15040591882962942,0.05132345350791958,0.07463550715550205,0.10374185910384566,0.19426896111001768,0.14742596131837704,0.018305512298609272,0.2575725962758887,0.19766323913109965,0.17943069957446034,0.03506257210935195,0.08229958528924551,0.2728681502629823,0.020203142940037395,0.040593938297911906,0.031565653257024845,0.25276478364092864,1.5130195462856575,50.257682625624966,0.5681298546979741,0.2585528400114607,0.1019723404842104,51.76520696996372,0.3328657272309239,0.03269315970474298,0.128713919273911,0.020703361448391033,0.17077283167139348,0.8803809225850521,5.616111861953945,0.2191977544480177,0.016867304932065726,4.621567109768146,0.15426032633176232,0.03885258184152449,0.07914165462724701
7,2012-01-08 12:00:00,0.07904299524327213,0.3351980537249315,0.12431097431379973,84.12346187616008,1038.6556228576437,0.8498564305353771,0.16689821050120535,0.11585083447238655,0.03215712836285807,1.8755892831914707,0.9856890316955478,0.29105161990184597,0.17948162921047897,4.165428575612852,1.1615265165280781,0.31482042676708494,0.10999399695686322,0.15756618660386504,0.21831904506279262,0.4012311316865406,0.3052021719640026,0.03804028403026457,0.5324867579728731,0.40694366839653373,0.37184046549391253,0.07601174386945644,0.16622480555962751,0.5644296299330159,0.04230838906002436,0.0864314145015203,0.06550721456780124,0.5220127554588218,2.060654740762661,56.92723118959981,1.173421195075924,0.5359103708818294,0.21402409274197073,60.94157178770553,0.689629914871101,0.06742146529898202,0.26981472108283444,0.04358389991587859,0.3546969835510426,1.8110556614258517,7.772095869366544,0.45325873127011324,0.03502076399236624,6.709350961010508,0.3226259762935207,0.08151558039640722,0.15651034361969796
8,2012-01-09 12:00:00,0.08452775834875145,0.3711051524975302,0.13919831403865815,99.30438120271684,1159.6605165448236,1.041450390221885,0.1830176914981462,0.11382557701323907,0.03604592129701468,2.0023436778558215,1.039313392924306,0.30936302237956553,0.19799406255131904,5.460212139126411,1.22703203820238,0.34600897280133996,0.1266517848824296,0.17632543071926712,0.2429477040542782,0.429134805708325,0.3275360716066626,0.0413294797562336,0.5710689814235994,0.43088668844231665,0.3999239310264711,0.08944825395192148,0.26243344605797453,0.6048408448037906,0.046572629523146086,0.09833119210991716,0.07083571464380352,0.5583511013889886,2.6105440304605843,64.11961306877467,1.255351747779059,0.57819104535367,0.23893528048948057,70.99763359825158,0.7429898040669229,0.0718550302026601,0.29677399220804596,0.048488342405253466,0.38326785386299506,2.0379435471890113,10.1687319338993,0.48570291642802926,0.03790110783674008,9.046307346997645,0.3538098159341467,0.090171571591235,0.23931052604609382
9,2012-01-10 12:00:00,0.13871057618729293,0.6133736586785602,0.23122254511977774,116.69971045777623,1296.466283795348,1.6854733167270264,0.3015709787322703,0.18468059630556388,0.05966107360448207,3.2835408462107156,1.700523574559789,0.508383169769153,0.32669965421130054,7.0370837127540256,2.006151567963472,0.5705013721937611,0.21259456997298917,0.29229218867386914,0.40366429713547114,0.7031568581466064,0.5374311707466575,0.06799668620536176,0.9366446888176961,0.7051568738719294,0.656831242279418,0.15059653845345522,0.42162345036965987,0.9922555954948036,0.07717610725976345,0.1656132323356488,0.1163540000937387,0.9148414224023721,3.333969405818369,72.21331305757198,2.0570048972361827,0.949860277642397,0.3960974619036697,82.31939391280565,1.219319665186973,0.11767495493633699,0.48957028454938506,0.08056100329978083,0.6303128242721737,3.3214339254416387,13.20234446831421,0.7965331214481595,0.06223069294911114,12.204228051489604,0.5830360757711853,0.14880740142652465,0.374093005450496
10,2012-01-11 12:00:00,0.1537280677163545,0.7023606722271278,0.2688926997439382,135.87938806246476,1448.0064366380843,2.080601627732543,0.34235809067133544,0.1873735791478683,0.06906496413809868,3.6315840399365804,1.8581759347804547,0.5603954270099629,0.3726761695521336,8.830304539372214,2.194484048268422,0.6488251759402889,0.2547314266137206,0.33875753239060247,0.4678170764355642,0.7790428064713156,0.5977105240478096,0.07663551879691907,1.0414117390955246,0.7739232220179614,0.7327106552161502,0.1833733063287454,0.6077818413217644,1.1023285740918152,0.08849799639478431,0.19792082115522264,0.13033679780391993,1.0136014784233838,4.067771707713545,81.03377253333684,2.2796067399777225,1.062931102934797,0.4594546880228517,94.77378539256566,1.3607483443430597,0.12995775459165115,0.5570640814717912,0.09328105691351823,0.7065602458278133,3.839151240755503,16.566763063564515,0.88460788988585,0.06969594561550632,15.753721464254914,0.6615173772668704,0.17020596249010875,0.5215492086167975
