iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,626932.0,4447100.0,2673400.0,5130632.0,3.3871648E7,4301261.0,3405504.263317115,572059.0,783600.0,1.5982378E7,8186453.0,1211537.0,2926324.0,1293953.0,1.2419293E7,6080485.0,2688418.0,4041769.0,4468976.0,6349063.378944783,5296486.0,1274923.0,9938444.0,4919479.0,5595211.0,2844658.0,902195.0,8049313.0,642200.0,1711263.0,1235786.0,8414264.670708846,1819046.0,1998257.0,1.8974154093820356E7,1.135314E7,3450654.0,3421399.0,1.228087539007507E7,1048319.0,4012012.0,754844.0,5689283.0,2.085182E7,2233169.0,7078516.0,608807.6438060025,5894121.0,5363675.0,1808344.0,493782.0
2,2012-01-03 12:00:00,626931.9828428268,4447099.982781416,2673399.987434449,5130631.851008468,3.38716474931737E7,4301260.844045452,3405471.1009509773,572058.941929204,783599.9999433133,1.5982377588161707E7,8186452.729259617,1211536.9363880795,2926323.9896499543,1293952.9872171502,1.2419292697940217E7,6080484.968349928,2688417.9951107726,4041768.9846379054,4468975.971061442,6349044.998316057,5296485.932916019,1274922.9924417739,9938443.87586086,4919478.888327209,5595210.91745,2844657.9918890786,902194.9910482259,8049312.867560983,642199.9957296023,1711262.9851480857,1235785.9872502172,8414218.129237793,1819045.979531379,1998256.843223495,1.8973719036033276E7,1.1353139879800586E7,3450653.9776843376,3421398.951069934,1.2280777970312133E7,1048318.9831404319,4012011.979715611,754843.995871319,5689282.926132511,2.085181962138011E7,2233168.9330057735,7078515.8990504425,608797.0810140894,5894120.896976654,5363674.965213264,1808343.997690017,493781.9969200229
3,2012-01-04 12:00:00,626931.9291549384,4447099.893322638,2673399.939420603,5130631.398727158,3.38716458857344E7,4301260.366969219,3405424.588414244,572058.7815525035,783598.7812692977,1.5982376301729387E7,8186451.918184612,1211536.737673425,2926323.9387929295,1293952.943448723,1.2419291783374067E7,6080484.845901383,2688417.968531137,4041768.9252809235,4468975.869447052,6349013.691566683,5296477.435857455,1274922.9684103176,9938443.493162096,4919478.553854511,5595210.660658054,2844657.9626209727,902194.9632255125,8049312.45989059,642199.9791588334,1711262.9369029712,1235784.5586331505,8414142.781510865,1819045.906360223,1998256.4233053518,1.8973246555953108E7,1.1353133073274083E7,3450653.892942139,3421398.794845761,1.2280640107186252E7,1048317.2532144246,4012011.8915365664,754843.9795888446,5689282.693463708,2.085181844926885E7,2233168.7204721174,7078515.584769482,608784.4135890529,5894120.57554033,5363674.833832859,1808342.3622746633,493781.98358565214
4,2012-01-05 12:00:00,626931.88401064,4447099.82490898,2673399.9005267373,5130631.015743353,3.3871644533130676E7,4301259.964737831,3405369.5715172086,572058.645419748,783596.8450914522,1.5982375219006501E7,8186451.229950308,1211536.5719274387,2926323.8995040627,1293952.9072232048,1.241929100723675E7,6080484.747008944,2688417.9483147818,4041768.877294263,4468975.785686581,6348974.587975038,5296464.084460008,1274922.9481350416,9938443.168573411,4919478.269082846,5595210.443530547,2844657.9386011283,902194.9396542984,8049312.114460145,642199.9657928979,1711262.8964666678,1235782.3175704116,8414049.811787255,1819045.8463985552,1998256.061060416,1.897274422386249E7,1.135312252727477E7,3450653.824264367,3421398.663574575,1.2280476784233702E7,1048314.5419421998,4012011.821967093,754843.9664929078,5689282.497226525,2.085181745802032E7,2233168.5425745887,7078515.319022039,608770.3062346746,5894120.304160214,5363674.727250709,1808339.7734825779,493781.97306722816
5,2012-01-06 12:00:00,626931.7899709645,4447099.627432062,2673399.8055846198,5130630.240931099,3.3871641687794775E7,4301259.143882292,3405305.626680928,572058.2447475704,783593.9064657041,1.5982372968558028E7,8186449.851935657,1211536.2258122663,2926323.789418768,1293952.8259713906,1.241928944073166E7,6080484.300862636,2688417.887732226,4041768.6539673507,4468975.593653996,6348925.855981047,5296443.996413823,1274922.8610708166,9938442.355865717,4919477.699549309,5595209.993895708,2844657.880699328,902194.8907041535,8049311.4059657715,642199.9331593392,1711262.808824706,1235778.9274972465,8413936.680608157,1819045.7083953454,1998255.4071603732,1.897220492730442E7,1.1353106282243935E7,3450653.6583996327,3421398.385848105,1.2280285965967793E7,1048310.4501408702,4012011.639279945,754843.9340311114,5689282.086204475,2.085181541608129E7,2233168.1684067002,7078514.572333715,608754.7641642636,5894119.741240388,5363674.470760169,1808335.9216040813,493781.94544086035
6,2012-01-07 12:00:00,626931.7034874909,4447099.44261788,2673399.7165645333,5130629.530582962,3.387163905953596E7,4301258.392756717,3405232.3559894487,572057.6327668073,783589.7749204589,1.5982370898701167E7,8186448.589256623,1211535.9104023536,2926323.6865258804,1293952.7505520522,1.2419288001485895E7,6080483.536737108,2688417.830086583,4041768.26563684,4468975.41447432,6348866.549084217,5296416.160778025,1274922.7045740024,9938441.353685627,4919477.175659716,5595209.578285752,2844657.82521708,902194.8452089448,8049310.751787236,642199.9028547985,1711262.7270040556,1235774.217551439,8413801.809237896,1819045.5809407984,1998254.815477303,1.897162482925106E7,1.1353083590155372E7,3450653.5039097625,3421398.129199783,1.2280066287517764E7,1048304.7749128727,4012011.468923762,754843.903746386,5689281.705757,2.085181353291792E7,2233167.8255101526,7078513.545748567,608737.7796948564,5894119.221806605,5363674.231916395,1808330.6262257746,493781.91967224405
7,2012-01-08 12:00:00,626931.5559761414,4447099.086455679,2673399.553825617,5130628.337490821,3.387163455947651E7,4301257.124792222,3405148.9840884763,572056.5387809023,783584.2258451123,1.5982367373238387E7,8186446.476980364,1211535.370900003,2926323.4902599505,1293952.6175809498,1.2419285574021172E7,6080482.08190061,2688417.7169893975,4041767.5209949925,4468975.095141149,6348794.900694447,5296379.034683089,1274922.4062734768,9938439.543981096,4919476.30000586,5595208.871352982,2844657.7228562837,902194.7675210437,8049309.633694372,642199.847734079,1711262.584188358,1235767.8962908087,8413642.55809796,1819045.3546341837,1998253.8748079087,1.897099778066285E7,1.1353052741874095E7,3450653.223547734,3421397.6885915888,1.2279814825592017E7,1048297.1861541294,4012011.150559745,754843.8482250997,5689281.0477308575,2.085181034020203E7,2233167.2389170104,7078511.679289298,608719.2448917392,5894118.338226858,5363673.795388872,1808323.6201268327,493781.8714692943
8,2012-01-09 12:00:00,626931.411669843,4447098.719221779,2673399.387399963,5130627.181556047,3.387163013162227E7,4301255.896424843,3405054.840460028,572055.009349483,783577.0467576118,1.5982363926618483E7,8186444.432192657,1211534.8477476758,2926323.2888889853,1293952.484764482,1.241928318245808E7,6080479.911828794,2688417.597069043,4041766.396013298,4468974.772781858,6348709.667404976,5296331.506062961,1274921.944223045,9938437.19360411,4919475.448743356,5595208.176059206,2844657.614178291,902194.6903349689,8049308.508361011,642199.7923002373,1711262.4403847684,1235759.7513750182,8413456.972061181,1819045.130186546,1998252.9887463683,1.8970319176588852E7,1.1353012815783175E7,3450652.9403461097,3421397.2544658217,1.2279529367387217E7,1048287.4561342435,4012010.8262744485,754843.7918622151,5689280.37875062,2.0851807213899776E7,2233166.667824598,7078509.149272966,608699.0612518261,5894117.471572515,5363673.3448843695,1808314.694386603,493781.8223188006
9,2012-01-10 12:00:00,626931.1909735013,4447098.125820145,2673399.124144258,5130625.42891716,3.387162335007175E7,4301254.028108333,3404948.8889210317,572052.7232629473,783567.9777251708,1.5982358660559546E7,8186441.336364111,1211534.0454847596,2926322.9648143905,1293952.2783183553,1.241927951591209E7,6080476.548768194,2688417.401604753,4041764.640265379,4468974.268800617,6348608.678645288,5296271.797299559,1274921.2189350007,9938433.526698085,4919474.160870958,5595207.114056488,2844657.4406558094,902194.5720999794,8049306.759049935,642199.7049560342,1711262.2175467608,1235749.4283398017,8413241.887443446,1819044.7805253703,1998251.681653846,1.8969581694913648E7,1.1352961759763068E7,3450652.494344135,3421396.5886447914,1.2279206105541289E7,1048275.2005998801,4012010.3084915127,754843.7026771116,5689279.330314782,2.08518024500145E7,2233165.7936124145,7078505.26537353,608677.048581619,5894116.148674354,5363672.623697813,1808303.5328050437,493781.74390092114
10,2012-01-11 12:00:00,626930.9667628425,4447097.485935866,2673398.8426002124,5130623.6708794795,3.387161641827294E7,4301252.152606751,3404830.2179630906,572049.7262350923,783556.7681620336,1.5982353316684166E7,8186438.231319182,1211533.2372260569,2926322.6166770137,1293952.0634354413,1.2419275715331824E7,6080471.913185966,2688417.1845996855,4041762.1938079745,4468973.73752017,6348490.345161013,5296198.591669598,1274920.186684859,9938428.776304705,4919472.863170193,5595206.027611818,2844657.2464978625,902194.4496947298,8049304.885031294,642199.6133785208,1711261.9831551982,1235736.657116378,8412994.893374542,1819044.419753769,1998250.4135817268,1.896877970618894E7,1.1352898394973071E7,3450652.0242729974,3421395.9069146854,1.2278842067447226E7,1048260.1452042076,4012009.7556439806,754843.6081393554,5689278.191438083,2.0851797609701477E7,2233164.9109314918,7078500.181082132,608653.0500389716,5894114.801751509,5363671.830808821,1808289.878671116,493781.6604305808
