iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.567612118481684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.62447689744762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.11609139593514,0.0,0.0,0.0
2,2012-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.70513879297137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.407167727367288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.23739891568016,0.0,0.0,0.0
3,2012-01-04 11:00:00,0.006411596558520159,0.025382667743338926,0.00930484063959584,0.04826400847868192,0.4159658511936478,0.052599580513511296,0.01292825313455084,0.010796517876691739,0.002376936381803384,0.15260933510990643,0.08206656422618683,0.02377162900700782,0.013700125024112752,11.935642293678228,0.09642136382152428,0.024245685267067614,0.007835041694234853,0.011725058824221417,0.01665060133731484,0.032612659670335935,0.02464497130590358,0.0030092601143706463,0.04310949503335504,0.0336803264240671,0.029918610957833353,0.005083955960507961,0.21127785827816314,0.045722543860417776,0.003298402692019419,0.006464106997983605,0.005216936966933618,0.04242712019148828,0.012481162989864774,0.06509154274199025,0.0953397213150688,0.04292832187559288,0.016247683470248884,16.55743419003371,0.055298437957262477,0.005518057075931198,0.02071823060683495,0.0033280588785090893,0.02829769699692292,0.13433748078480576,0.12168640128984118,0.03671645371338903,0.002780911917376701,245.14682114926592,0.024943460307038583,0.006196827673948441,0.061228239357311275
4,2012-01-05 11:00:00,0.006414844135574638,0.0254082646504262,0.009338700742557606,0.048283909423952207,0.5955997054979164,0.05253632211118938,0.01297796616855803,0.010662423514046518,0.002385881377958382,0.15271422558541245,0.08205799261411495,0.023657167249710693,0.013730441491383841,12.761070031198509,0.09655450942396823,0.024317138368038112,0.00785527053508478,0.011768502768785119,0.01670878037059009,0.03272127368004832,0.02470664387341977,0.003024037931610941,0.04327164844199448,0.03373986273855957,0.029999231442868462,0.005108366653987227,0.384412557292391,0.04584989771927098,0.0033063376496324983,0.006478308482530578,0.005236740455034225,0.042572327149810754,0.012505419000752431,0.10097745392576306,0.09566607306030277,0.043103211963249746,0.016295411460162553,17.55879473799328,0.055502676129786994,0.005535607871244089,0.02075380746958286,0.0033367252950795186,0.02837500365619535,0.13467794122726592,0.20077356258777063,0.036829332773972705,0.0027908323075565285,232.0080905109347,0.025009700511504796,0.006220129686084979,0.10958502208324988
5,2012-01-06 11:00:00,0.012191536867814504,0.04928336415652562,0.018137112551661488,0.09315564398863295,0.9475700992419972,0.10056037723963468,0.024961927701163105,0.019601299357532846,0.0046559943720908634,0.28995908690468286,0.15481629577652772,0.0449914097410877,0.02655313820514855,13.476615659744915,0.18220600553738164,0.04687776463447748,0.015484874295327914,0.022908848103853408,0.03225316021353181,0.06206317066975031,0.04696752872847701,0.005775629181697477,0.08214233059673574,0.06370411360614882,0.057079240114142824,0.010270569588853888,0.5484130561041755,0.08706515662018999,0.007036784179325381,0.012843148906160244,0.009989704643899753,0.08074607503335769,0.023831141161527535,0.15025998899800924,0.1814641245244779,0.08205818590137838,0.03138415210239929,18.43219083593503,0.10567288962514981,0.010478691029764748,0.04007120949218263,0.006644907586821098,0.054119419975981076,0.2554577425743229,0.29749013906876925,0.06992909717639866,0.005329880037248866,223.28813886733806,0.048165694067652164,0.012034063725755136,0.15574746060359873
6,2012-01-07 11:00:00,0.013459757550709656,0.05549747548222197,0.020496830374814232,0.1060716889602805,1.1639441552918635,0.11264940757090955,0.02796241998550313,0.020694128638062026,0.005285731058379144,0.3198888267122697,0.1696354939192001,0.04944865795705366,0.02985258004417947,14.033190498170212,0.1999662198983943,0.052581489542672936,0.017721281480914522,0.02594643397562316,0.036239048984151034,0.06857368720228468,0.051970383105995346,0.006433467297223301,0.09086860095731042,0.06997741601842403,0.06321940730630284,0.011981562525682945,0.7104930253354942,0.09625566974814694,0.009157546008690363,0.015003206105751444,0.011103080203800637,0.0892221654071935,0.02641516309573499,0.18138902178664268,0.20053025355722412,0.09105251382052117,0.0351703601740797,19.082239081739385,0.1172220421473936,0.011554295135686055,0.04496230968216805,0.007842701903139083,0.060081454395250894,0.28205381404625995,0.3748324483677467,0.07732515171628723,0.005929080319128647,215.64903639487818,0.05396153070427588,0.013553616131522811,0.19810024253209677
7,2012-01-08 11:00:00,0.018282312343267937,0.07660130425911052,0.02835050454989675,0.1469652211751989,1.4970862427696379,0.15452436989044846,0.038382644672681744,0.027238790295741784,0.0073340478890769716,0.4341708376496464,0.22901937195721178,0.06709317382202647,0.04112456499943989,14.467187222202233,0.27009805854488134,0.07227851591043773,0.024791607735545746,0.03595488117479178,0.0498932382528967,0.09307176433350231,0.07065810014985154,0.008787747980183412,0.12345046791298935,0.09460440088794136,0.08602373416749858,0.01701601434856815,0.8759144179687963,0.13076269733136575,0.013739268667563382,0.021213047784132782,0.01514203005812241,0.12109743830444115,0.03597751908725496,0.22194447456076655,0.2721932638854935,0.12401295780973659,0.048311607442848785,19.571077134187473,0.1596054610935399,0.015657173826120648,0.06185473009457894,0.011141460694765794,0.08192041458914977,0.38274353746125206,0.46673468831438936,0.10504080909924182,0.008090953464856592,208.4778258646818,0.0741086473781257,0.018684839701072545,0.2412670693296555
8,2012-01-09 11:00:00,0.01997519626912578,0.08553724941343406,0.03178910054559501,0.16579297152683473,1.7365707772786085,0.17151657580007676,0.04260101546677408,0.02829742677669244,0.008255359633635823,0.47389909199985714,0.2480831343705553,0.07301842812282182,0.045829198960792336,14.79366688253594,0.2929471295662651,0.08033881938201491,0.02822204605703969,0.040418108680430796,0.05560276767216589,0.10171197642204756,0.07737640874673216,0.0096962033829539,0.13512915535968031,0.10278663539284623,0.09432339713856781,0.019762331520402323,1.0396184374754722,0.1430586718061362,0.017227404250884516,0.02456935665004852,0.016659839072911683,0.13234511049824255,0.0394951984742929,0.2499792824392763,0.2975097034675165,0.13624124611096966,0.05365123947417492,19.909809478432965,0.17520723667656463,0.01707312822715129,0.068787050392862,0.012992385047686815,0.09007910198355186,0.41801698919819513,0.5447889153097464,0.11492141814490343,0.008907361425478568,201.5919556426793,0.08226021824684351,0.020854614755018073,0.2817167349777677
9,2012-01-10 11:00:00,0.023970936282645395,0.10416062424463962,0.038824251777879897,0.20303599787731688,2.049861802585732,0.2079739543588689,0.051646809746749775,0.03288033811948798,0.010101344544275538,0.56823089258064,0.29597741822255935,0.0874794854243405,0.05571968342946894,15.033764461381756,0.34963709625241585,0.09749729554267587,0.03486649212075133,0.04945322854699556,0.06763453283559921,0.12200571090448092,0.0929728794882795,0.011710861252606524,0.1622977992136851,0.12288887624202911,0.1134521010139489,0.024747251732129237,1.2024920990815122,0.1717856996623122,0.02236709866823393,0.03062163757597825,0.02007705585294423,0.1587517294016199,0.04755734532957794,0.2836382307408414,0.35690458962092775,0.1640651503009081,0.06507639740223006,20.137853170612985,0.21080927773873756,0.020450818230485796,0.08351670399421361,0.016227681999936756,0.10857228597763213,0.5012914410598491,0.6306767028474821,0.13798211211979583,0.010736065990150945,194.98386197555524,0.09973282066474223,0.025373540961609257,0.321804575129203
10,2012-01-11 11:00:00,0.02583511384004368,0.11447700800281993,0.04286521515287309,0.2255127259638583,2.2969041250547746,0.22764161998400853,0.05646958463649689,0.0337569483202287,0.011177820497451661,0.611751663587027,0.31643415011008386,0.09395180505837702,0.06112960452027503,15.194546554365429,0.3741071678361011,0.10672081868804283,0.03907893042945937,0.05473332708027488,0.07428253565147325,0.13150349140045653,0.10042664081396165,0.01274600287907454,0.17526663241201892,0.13184211369426435,0.12272936987481159,0.028224249991173,1.3607326221810694,0.18541557138630396,0.026793604531754663,0.03477877322765709,0.021778393619261725,0.17111459643396773,0.0515198175929071,0.30831597580367415,0.3847486515809595,0.17782520639694369,0.07118685465977247,20.258795176024304,0.22817822659487827,0.022000947907727927,0.09144622860464967,0.018487985271019965,0.11778351322380091,0.5400318360617079,0.705379573199883,0.1489131412371072,0.011646582051069691,188.60944882725508,0.10901886969725076,0.027871736129159715,0.35906337576623903
