iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.567612118481684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.62447689744762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.11609139593514,0.0,0.0,0.0
2,2012-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40783373730243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.39213971417839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.00086596692336,0.0,0.0,0.0
3,2012-01-04 11:00:00,0.006411596558520159,0.025382667743338926,0.00930484063959584,0.04826400847868192,0.4159658511936478,0.052599580513511296,0.01292825313455084,0.010796517876691739,0.002376936381803384,0.15260933510990643,0.08206656422618683,0.02377162900700782,0.013700125024112752,12.900145479495686,0.09642136382152428,0.024245685267067614,0.007835041694234853,0.011725058824221417,0.01665060133731484,0.032612659670335935,0.02464497130590358,0.0030092601143706463,0.04310949503335504,0.0336803264240671,0.029918610957833353,0.005083955960507961,0.21127785827816314,0.045722543860417776,0.003298402692019419,0.006464106997983605,0.005216936966933618,0.04242712019148828,0.012481162989864774,0.06509154274199025,0.0953397213150688,0.04292832187559288,0.016247683470248884,17.909394853776213,0.055298437957262477,0.005518057075931198,0.02071823060683495,0.0033280588785090893,0.02829769699692292,0.13433748078480576,0.12168640128984118,0.03671645371338903,0.002780911917376701,268.15452550593596,0.024943460307038583,0.006196827673948441,0.061228239357311275
4,2012-01-05 11:00:00,0.00718423567302624,0.028454184738811148,0.010455281604997153,0.054075590053879616,0.63688335257476,0.0588482712428934,0.014529356518667682,0.011958005376892381,0.0026711137428685624,0.17102734468891803,0.09190597957797648,0.026509762378933856,0.015374456475027777,14.085424832459426,0.1081250724351307,0.02722662055840194,0.008795475532254826,0.013175509812985152,0.018706852497926935,0.03663479270934229,0.027664040342034995,0.003385149140230986,0.04844478769532739,0.0377815016999568,0.033589464633526196,0.005718441364701448,0.4014437370618202,0.05133660277229991,0.00370214596541475,0.007254001305991892,0.005862772875602241,0.047663581405053765,0.014003158515809409,0.10705548319116907,0.10710683924211631,0.048254610460582534,0.01824513344236965,19.40176362797622,0.0621384885083957,0.006197774695747176,0.023239995104594815,0.0037360923544009425,0.0317707271914487,0.15079843823714664,0.21157249809591855,0.04123530707205934,0.0031245417313149303,260.4272742599197,0.02800291569587452,0.006963749002522693,0.11460793109336367
5,2012-01-06 11:00:00,0.013279463150210596,0.05359236000393159,0.019720631106774644,0.10134440315588097,1.0257343311011968,0.10947114362704384,0.02716251345888768,0.021410933137329214,0.0050605539786085976,0.3158584102386324,0.16873341205556536,0.04900476339176074,0.028881529994387083,15.231714765563181,0.19858037077277527,0.05100126525321976,0.01681693396475889,0.024904369076616868,0.03508641077016867,0.06761165571038352,0.05115718328357073,0.0062883641367469136,0.08947964517775336,0.0694258223382805,0.06216633554360042,0.011136714220077547,0.5915578256583569,0.09484007622789327,0.007597462851303963,0.013941733654447801,0.010877665677905652,0.08796494737177984,0.02595182726659086,0.16279906401622693,0.1976859567332406,0.0893668114313566,0.034147395616927666,20.85629922018866,0.11508418242709223,0.011417361584894105,0.043590713607722174,0.007210732984556925,0.05893107822673791,0.2782958515235568,0.32146359930070606,0.07617426805936842,0.005803109946325429,257.054168526404,0.052406703245449875,0.013088774008407637,0.16817382408313314
6,2012-01-07 11:00:00,0.01562051646344623,0.06421568070547833,0.023706106924810035,0.12247317378533554,1.3122164075307838,0.13040505015566542,0.032383568701561276,0.0241727109919612,0.006109224636484882,0.37128568915905324,0.19709135093921548,0.0574158767063683,0.03455197994941232,16.25944960251504,0.23228595322591672,0.06088137833972787,0.020456968380821432,0.02999919278410757,0.041949323650308894,0.079580153957939,0.06029691060376584,0.007457280803178748,0.10543571367807662,0.08127731650563014,0.07333795640010767,0.013793266334749974,0.7889195375705297,0.11169307558371205,0.01036435148089623,0.01725944620690026,0.012873815779937375,0.1035421401816079,0.030638646762534465,0.20427895773859064,0.2327118696782796,0.10560128932706438,0.04072754099561458,22.13814302343095,0.1359564558539837,0.01341293711918656,0.05205473347853994,0.009007386805184665,0.06967310968744232,0.32735192018882225,0.4190163321506686,0.08972483521457009,0.0068736979020854565,254.6296763995137,0.06248989371814122,0.015683809377774895,0.22055840119357908
7,2012-01-08 11:00:00,0.021171644375386794,0.08847902837575806,0.03273667662866119,0.1693507153267914,1.715645040661374,0.1784811008808872,0.04437475983852009,0.031703288406086244,0.008464386340647645,0.5028494034227122,0.2654737497803824,0.07770648957946813,0.047516501801695615,17.18950130905744,0.3130699155913989,0.08354240620301988,0.02857590844585917,0.041505405660502905,0.05765490268052159,0.10779694804336615,0.08181398222098751,0.010167834020583771,0.14296080225907176,0.10964101385037889,0.09959261436349481,0.019568031707155466,0.9990145619312215,0.1514284061353276,0.015568538767040547,0.024369586785329467,0.017524220229701674,0.14025666978936024,0.04164568691917305,0.2553106848052838,0.3152537891134154,0.14355441691516568,0.05584678510435733,23.28590708738911,0.18476295430773007,0.01813902539567574,0.07148408622715663,0.012781927086904609,0.0948111495186634,0.4433094469933897,0.5338911472762367,0.12164251531641973,0.009362831162082415,252.47893028015724,0.08566977284870428,0.021586796213010944,0.2759082012229251
8,2012-01-09 11:00:00,0.024241762392046194,0.1033761984888775,0.03839190626168152,0.19946196217582712,2.057426985739437,0.207201946427825,0.05154987835614357,0.03466975593675355,0.009962763207486855,0.5752352662067187,0.30156963345247595,0.08866629800597534,0.055410330145764394,18.030277709742418,0.3560367753151644,0.09718505644740219,0.033985861788211946,0.048789946399958074,0.06722992603504613,0.1234434765933818,0.09386872169786765,0.011746738312900616,0.16395175399917108,0.1248823330165227,0.11440022151137078,0.02371185439817646,1.2177685062229455,0.17358431104211566,0.020217990954249872,0.02942198142449889,0.020193289378282825,0.16062074689920153,0.04788937237470392,0.2971486014341759,0.3610647375127071,0.16518642413388787,0.06491242452595947,24.303055889212068,0.21245948154730285,0.02072967240785116,0.08319971611694157,0.015526106977537018,0.10919303253121426,0.5073764684540469,0.6419341790601338,0.13944371097620367,0.01079519670211946,250.41203395382348,0.0995343879943478,0.025208356214426037,0.33121431834866055
9,2012-01-10 11:00:00,0.02935440441458391,0.12712064015867416,0.04735367061683462,0.24661365661996812,2.4771734674466757,0.25355066147430283,0.06309956797892526,0.0405673263150558,0.012314807587051042,0.6959779239487222,0.3629423555600263,0.1071577191222782,0.0680274910972093,18.796350676674535,0.428710287715012,0.11908664832920529,0.042414517109130155,0.06029290881731318,0.08257037144951683,0.1494283135847102,0.11382380223461028,0.014320891969493614,0.19872103043379663,0.1506233750207896,0.13886382684021914,0.030016124363420847,1.445747008938743,0.21034437952721738,0.02662654287788225,0.037060714221314614,0.024563240976229993,0.1944335458019076,0.05819185627865974,0.34482019215189563,0.43711495648904214,0.20076428486859052,0.07949629924108124,25.218666085688252,0.2580089140763755,0.025055752077765094,0.10199676772986317,0.019608430002024276,0.13282765241978053,0.6139929610543403,0.7610534034201233,0.1689582043764956,0.013134299546603062,248.41886078266594,0.12184321396494881,0.030974076939196137,0.38833854236267257
10,2012-01-11 11:00:00,0.032875672404738696,0.1449753119881569,0.05422995167462215,0.28371050591432423,2.8600996460031167,0.28787176640436135,0.07161222875136002,0.043467300140741995,0.014133491214393008,0.7786812366038883,0.4034714420506205,0.11963590541943198,0.07745120733540434,19.490972905102925,0.4769351591949225,0.13529666640102422,0.0492540441771132,0.0692039513158037,0.09409772659661428,0.1673556285786726,0.12773440038123643,0.016182974115896028,0.22294865231205716,0.16796672588103065,0.15604492987850696,0.03543109681524345,1.6794760235652195,0.2358802227802226,0.03287991627840552,0.04354474877122039,0.027672531348008084,0.21776532201875498,0.06547436419765955,0.3862689359793211,0.4896264173630332,0.22600106144251647,0.09026215966518591,26.032737535299443,0.2900872500899568,0.02801231388230131,0.11591790931500925,0.02310399826918501,0.1496521324681815,0.6873312510454487,0.8754381094701192,0.18945019276800135,0.014798194914728367,246.46720587013337,0.1382546708928645,0.03530523325110275,0.4451192686180718
