iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,60.77758927711817,1460.5740201986043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8394411735954,0.0,0.0,0.0,49.24895379489524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.0,0.0,0.0,41.743526296365985,1003.1265199655725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.53238746949863,0.0,0.0,0.0,33.82529289495132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2012-01-04 12:00:00,0.018295789171270303,0.07243062339334551,0.026551795698410027,79.57589049484805,1410.098310787345,0.1500953511848338,0.03689137185416572,0.030808366633620462,0.006782698553355902,0.4354778399504824,0.23418076058347165,0.06783344999338407,0.03909394418417926,1.7542228111891378,0.2751428489020503,0.06918619101308734,0.022357656009829554,0.03345800089015681,0.04751326564621057,0.09306174192326971,0.07032557239696152,0.00858706375235767,0.12301495003742759,0.09610837883114137,0.08537414856779672,0.014507304873545405,0.009207568335287285,0.13047140654785375,0.009412145552231613,0.01844563009227586,0.014886772382489932,0.12106776170821919,0.92163814408029,69.63006522831027,0.2720563311707017,0.12249796395964473,0.04636352076523964,61.44950542550449,0.15779666580455032,0.015746032641098442,0.059120435013082034,0.009496770858235859,0.08074879512889083,0.3833382527654535,3.2487797461543604,0.10477210918483874,0.007935461549439537,2.402127824056464,0.07117732457206973,0.017682936081224915,0.008894654691307258
4,2012-01-05 12:00:00,0.019412546379369962,0.07688807665849318,0.028255665413500417,114.65585806820319,1821.3502901899212,0.15900048625551555,0.03926635958265298,0.0322906255021773,0.007218797727877044,0.46213771962702477,0.24833184878539905,0.07161295299164074,0.04154691039108559,3.256310849961521,0.29217787698393227,0.0735781033299673,0.02376874638427712,0.03560726895972046,0.05055538195984759,0.09900494124165989,0.07475854416762262,0.009149029948979988,0.13092407106424603,0.10209595160583194,0.09077211735874421,0.015455126415492262,0.009804050428204291,0.1387325825129259,0.010004529584773708,0.01960271587773201,0.01584441692529762,0.12881065646676057,1.6898550175340832,93.7953549702151,0.28945585367355986,0.13041213575423447,0.0493062174447348,87.3786119342904,0.16793130397422634,0.016749262046428622,0.06280066666626152,0.010096364762998253,0.08585732366112782,0.40751420935269217,5.962021824921532,0.11143633736854361,0.008444123644409813,4.40652338983007,0.07567488981118292,0.01881982306761655,0.009438769861603115
5,2012-01-06 12:00:00,0.08326832019635362,0.33919880445708345,0.1247506662676467,165.06422188550457,2373.482054025278,0.7970148575062076,0.17103733355506476,0.1328877504873529,0.032081809793500685,1.9795205851177982,1.0546366135951606,0.30809739643281037,0.1824518549338215,5.988171011851158,1.2405022586582084,0.3216103738948081,0.10715816845915303,0.1577058522025053,0.22133685719527735,0.423026906036168,0.3205337226939605,0.03944703730315396,0.5599638236216234,0.4337305374051467,0.38964832209032574,0.07152895840821226,0.11099479990196212,0.5938571116890881,0.043460255083722685,0.08636790380038095,0.06823030196561332,0.5503434450057131,3.074884932747948,125.76275359884664,1.2368538802621851,0.559947504265266,0.21680103422991617,123.44949462861891,0.7212353257441891,0.07137213527497416,0.2752261421681932,0.044222235297783775,0.3697875030436461,1.8310598165680319,11.095448349137762,0.4768949575918739,0.0364232738722455,8.774591385414489,0.3303633292133531,0.08264635972825371,0.10728529040321547
6,2012-01-07 12:00:00,0.1117956943220576,0.4642378343258206,0.1713652883698633,232.8087035635995,3089.326446318042,1.2667337213938932,0.23297053608904422,0.17057970028765662,0.04426272998593269,2.6558580847905033,1.405496799595779,0.411646132743302,0.24934927846788968,10.008852703194924,1.655977060724645,0.4385859122263736,0.14896312742012613,0.2170944479898861,0.30235033984853543,0.5685348619655162,0.4313732658155633,0.053443274785116256,0.7534868248398783,0.5795357138190176,0.5248808002187377,0.10127236364671553,0.2667001219848745,0.7985513851263757,0.05898945896903622,0.11827115863375895,0.0922325043152864,0.7396960608759758,4.961942989852289,166.83259205297264,1.6625505112368593,0.7557255794087846,0.2980300352403903,171.34521316249476,0.9731003427975647,0.09572968762213337,0.3754132665564039,0.06036206026799442,0.499261990142848,2.611242287866593,18.51357879318099,0.6414065363208206,0.04927719444661587,15.172901893900235,0.44998952633863776,0.1131603889401138,0.256412740781751
7,2012-01-08 12:00:00,0.23689231929363427,1.0054838678473237,0.37308746518031355,324.96046371149527,4024.837664290808,2.744390252628848,0.5002919366631456,0.34695945511484566,0.09645802186206814,5.620762462620033,2.953126126812269,0.8728421965193336,0.5382450590106161,16.023225467923588,3.479444063762688,0.9438945600750527,0.3307243607696096,0.472567164514617,0.6554150515393368,1.2019752370529264,0.9144634770617557,0.11397423786121585,1.5951509198372655,1.2189921797394503,1.1141742317522751,0.22821955237480127,0.6121770411147084,1.6910599587436055,0.12704304733147806,0.26024427586819676,0.19628710551915857,1.5637857048256767,7.824819116303112,220.42075792405342,3.5152136094253716,1.6055713730673742,0.6452524543645982,235.43949754925646,2.06625087834815,0.20195696733122248,0.8091250837996411,0.1309004597000413,1.0629197778694013,5.571817632010497,29.82763849778873,1.3579380438089295,0.10494679626257006,25.538478910099286,0.9672905472524334,0.2444196592477536,0.5745166125521913
8,2012-01-09 12:00:00,0.3343827528572153,1.4594986413439173,0.5471635673582421,448.33414822487896,5241.472676089162,4.358099947806197,0.7201903808773692,0.4588490347609065,0.14135540845943514,7.922593321425819,4.121602475769455,1.2274722929821527,0.7787893002016912,24.626624356473965,4.861883156304438,1.3614810060731803,0.49731894178290015,0.691691207139857,0.9573995750889776,1.6957598091704298,1.2938960636380643,0.1628150877063699,2.2552962349839984,1.7064098840291704,1.5793052691818505,0.34814258933550685,1.1709115232518603,2.3898386612512064,0.18409050956210207,0.38906292039893353,0.27937398526374296,2.206272438832804,11.698959857963322,289.8565171126729,4.960247964300251,2.2809847450697474,0.9461161474196637,320.354066223581,2.9321635019950953,0.284118476197822,1.1680805471891438,0.19130577460683718,1.5123753070917987,8.224688428721235,45.90045250879289,1.9188864891225297,0.14947020083301948,40.6415037829979,1.39280830956382,0.35434538911341074,1.0647693665455826
9,2012-01-10 12:00:00,0.5788303439167948,2.566036046969491,0.9700371967254519,614.4329914973166,6830.013856051857,7.725953820415873,1.2596121512448921,0.7674352058890369,0.24962869589374614,13.699175935738024,7.088503803943164,2.1240987917676697,1.3658950966772703,37.00299277537294,8.360171010854108,2.3839415434181204,0.8972876278994922,1.2227714849399707,1.6959231172012195,2.93150085469581,2.2415991692869333,0.2836917002614306,3.9051865255499294,2.9386842197310776,2.740232020448379,0.632133939017575,2.1654407898076715,4.138098474296113,0.32452948966286316,0.7033155475355489,0.4854549511173113,3.813939522920019,17.299169935170077,380.555755119739,8.575702008077085,3.9617981130056066,1.6743046500354657,433.21510475335924,5.08593480712391,0.4904620783717042,2.0466163747164963,0.33891290809229424,2.630452011465698,14.352135511166146,69.33355145815199,3.3215435110114457,0.25968158753710996,63.63348414400488,2.4361564776410796,0.621988342692769,1.9113845107600036
10,2012-01-11 12:00:00,0.8231483844840349,3.7391650251657915,1.433434055499081,835.5962366535493,8896.88620334136,11.954676121700121,1.823031395219769,1.024217185461614,0.3666002152895049,19.449380138061375,9.974697256973995,3.011307793925701,1.9842009985950497,54.33939896584023,11.769111009256962,3.455077801699281,1.3607594197263106,1.7983723458931642,2.5032346088602773,4.16569591664965,3.1950550203415764,0.4084143636357284,5.564737337953084,4.147896581298442,3.915666641384536,0.9666679881078519,3.715649801207233,5.893769884799587,0.4756007587861225,1.069875049404994,0.695560976616881,5.419660587249425,24.835552078783355,498.365392579596,12.188471002518133,5.673272534159835,2.474323692695152,582.182874890798,7.266487351054198,0.695334641231462,2.9676333057140196,0.500150832520937,3.772601174925274,21.104857150806343,102.0733690519989,4.729094286143816,0.37195059585692314,96.60548836178953,3.524417823896048,0.9051905342104108,3.1761348317439086
